driver_id,avg_price_per_meter_fly,avg_price_per_meter_road,max_avg_price_meter,avg_max_distance_meters,avg_rating,avg_price,total_ride_price
8211442,0.9053,0.8454,0.9053,3460.0972,4.9545,636.9938,410861.0000
8213782,0.1561,0.1251,0.1561,5196.1863,4.9700,650.0000,650.0000
8217436,0.1501,0.1501,0.1501,4818.4228,4.9350,725.0000,1450.0000
8221595,0.2363,0.2363,0.2363,3279.4677,4.9500,600.0000,1200.0000
8228780,0.2253,0.2198,0.2253,4408.3164,4.9584,665.2941,45240.0000
8231169,0.7422,0.8680,0.8680,3718.3337,4.9525,612.2741,589620.0000
8231233,0.2747,0.2690,0.2747,3208.5936,4.9664,604.2857,8460.0000
8238857,0.2342,0.2342,0.2342,3914.4904,4.9600,675.0000,4050.0000
8252671,0.3284,0.3284,0.3284,2038.5774,4.9457,620.0000,4340.0000
8259131,1.7889,1.7714,1.7889,3275.5708,4.9709,635.1963,103537.0000
8268271,0.4178,0.3940,0.4178,2069.4143,4.9589,635.6818,27970.0000
8271323,0.3030,0.2914,0.3030,3088.7547,5.0000,900.0000,900.0000
8276674,0.6953,0.6808,0.6953,2445.8199,4.9568,617.1037,202410.0000
8278149,0.4354,0.6636,0.6636,2627.4721,4.9499,606.1589,324295.0000
8291831,0.3924,0.3806,0.3924,3343.7035,4.9678,641.0588,108980.0000
8301131,0.2786,0.2725,0.2786,3270.6238,4.9570,632.3734,99915.0000
8301634,0.3190,0.2905,0.3190,2152.7128,4.9925,580.0000,2320.0000
8307478,0.3514,0.3361,0.3514,2457.3869,4.9583,615.5053,980500.0000
8313173,0.4549,0.6111,0.6111,3041.2937,4.9556,626.4761,471110.0000
8314318,0.4614,0.4485,0.4614,3127.7457,4.9525,631.4044,373160.0000
8321517,0.6259,0.8051,0.8051,3231.9542,4.9519,650.6266,1048810.0000
8322221,1.1951,1.1522,1.1951,3767.7884,4.9570,655.6818,144250.0000
8341908,0.5992,0.5817,0.5992,2714.4625,4.9576,614.0811,454420.0000
8356220,0.2675,0.2539,0.2675,4010.0118,4.9656,675.7746,47980.0000
8360206,1.9463,1.8756,1.9463,1719.2532,4.9455,601.1260,229029.0000
8364721,0.4090,0.5901,0.5901,2777.5821,4.9525,614.1276,654660.0000
8365668,0.2758,0.2727,0.2758,3332.5734,4.9611,670.8696,30860.0000
8374906,0.3567,0.3471,0.3567,3103.4869,4.9543,640.3736,222850.0000
8378328,0.9849,0.6945,0.9849,2955.2965,4.9573,629.4942,649638.0000
8382569,1.0351,0.7781,1.0351,745.3766,4.9000,580.0000,580.0000
8383853,0.2757,0.2650,0.2757,3477.0473,4.9605,669.5000,13390.0000
8390469,0.2849,0.2746,0.2849,3223.8903,4.9594,632.5949,99950.0000
8398159,0.1895,0.1828,0.1895,5776.5949,4.9623,752.3077,19560.0000
8401982,0.7411,0.6337,0.7411,2637.4890,4.9479,598.7283,103580.0000
8405313,0.1143,29.9515,29.9515,6027.2992,4.9720,816.0000,4080.0000
8407266,0.6681,0.6467,0.6681,1894.4601,4.9583,619.1451,311430.0000
8409926,0.3201,0.2727,0.3201,2609.3814,4.8700,625.0000,1250.0000
